NAME,GEO_ID,POP,YR,AGE,SEX
Burma,W140000WOMM,465667,2023,15,2
Mongolia,W140000WOMN,26435,2023,15,2
Macau,W140000WOMO,2802,2023,15,2
Northern Mariana Islands,W140000WOMP,499,2023,15,2
Mauritania,W140000WOMR,45736,2023,15,2
Montserrat,W140000WOMS,25,2023,15,2
Malta,W140000WOMT,2035,2023,15,2
Mauritius,W140000WOMU,7723,2023,15,2
Maldives,W140000WOMV,2643,2023,15,2
Malawi,W140000WOMW,265701,2023,15,2
Mexico,W140000WOMX,1130249,2023,15,2
Malaysia,W140000WOMY,247729,2023,15,2
Mozambique,W140000WOMZ,374762,2023,15,2
Namibia,W140000WONA,29283,2023,15,2
New Caledonia,W140000WONC,2087,2023,15,2
Niger,W140000WONE,317563,2023,15,2
Nigeria,W140000WONG,2625609,2023,15,2
Nicaragua,W140000WONI,58232,2023,15,2
Netherlands,W140000WONL,93165,2023,15,2
Norway,W140000WONO,32081,2023,15,2
Nepal,W140000WONP,279952,2023,15,2
Nauru,W140000WONR,88,2023,15,2
New Zealand,W140000WONZ,33835,2023,15,2
Oman,W140000WOOM,29477,2023,15,2
Panama,W140000WOPA,33231,2023,15,2
Peru,W140000WOPE,271205,2023,15,2
French Polynesia,W140000WOPF,2086,2023,15,2
Papua New Guinea,W140000WOPG,98890,2023,15,2
Philippines,W140000WOPH,1125022,2023,15,2
Pakistan,W140000WOPK,2538916,2023,15,2
Poland,W140000WOPL,205922,2023,15,2
Saint Pierre and Miquelon,W140000WOPM,25,2023,15,2
Puerto Rico,W140000WOPR,16377,2023,15,2
Portugal,W140000WOPT,50643,2023,15,2
Palau,W140000WOPW,155,2023,15,2
Paraguay,W140000WOPY,55541,2023,15,2
Qatar,W140000WOQA,9458,2023,15,2
Romania,W140000WORO,98486,2023,15,2
Serbia,W140000WORS,32770,2023,15,2
Russia,W140000WORU,806775,2023,15,2
Rwanda,W140000WORW,156648,2023,15,2
Saudi Arabia,W140000WOSA,288061,2023,15,2
Solomon Islands,W140000WOSB,6957,2023,15,2
Seychelles,W140000WOSC,553,2023,15,2
Sudan,W140000WOSD,585104,2023,15,2
Sweden,W140000WOSE,59891,2023,15,2
Singapore,W140000WOSG,31930,2023,15,2
"Saint Helena, Ascension, and Tristan da Cunha",W140000WOSH,43,2023,15,2
Slovenia,W140000WOSI,10545,2023,15,2
Slovakia,W140000WOSK,26761,2023,15,2
Sierra Leone,W140000WOSL,102949,2023,15,2
San Marino,W140000WOSM,177,2023,15,2
Senegal,W140000WOSN,210077,2023,15,2
Somalia,W140000WOSO,141176,2023,15,2
Suriname,W140000WOSR,5071,2023,15,2
South Sudan,W140000WOSS,133284,2023,15,2
Sao Tome and Principe,W140000WOST,2649,2023,15,2
El Salvador,W140000WOSV,50601,2023,15,2
Sint Maarten,W140000WOSX,274,2023,15,2
Syria,W140000WOSY,211782,2023,15,2
Eswatini,W140000WOSZ,11941,2023,15,2
Turks and Caicos Islands,W140000WOTC,375,2023,15,2
Chad,W140000WOTD,224884,2023,15,2
Togo,W140000WOTG,92139,2023,15,2
Thailand,W140000WOTH,392966,2023,15,2
Tajikistan,W140000WOTJ,95084,2023,15,2
Timor-Leste,W140000WOTL,15519,2023,15,2
Turkmenistan,W140000WOTM,43074,2023,15,2
Tunisia,W140000WOTN,83006,2023,15,2
Tonga,W140000WOTO,1054,2023,15,2
Turkey,W140000WOTR,634052,2023,15,2
Trinidad and Tobago,W140000WOTT,9820,2023,15,2
Tuvalu,W140000WOTV,91,2023,15,2
Taiwan,W140000WOTW,94305,2023,15,2
Tanzania,W140000WOTZ,732231,2023,15,2
Ukraine,W140000WOUA,153770,2023,15,2
Uganda,W140000WOUG,577779,2023,15,2
United States,W140000WOUS,2078395,2023,15,2
Uruguay,W140000WOUY,22336,2023,15,2
Uzbekistan,W140000WOUZ,291481,2023,15,2
Saint Vincent and the Grenadines,W140000WOVC,674,2023,15,2
Venezuela,W140000WOVE,243883,2023,15,2
"Virgin Islands, British",W140000WOVG,210,2023,15,2
"Virgin Islands, U.S.",W140000WOVI,703,2023,15,2
Vietnam,W140000WOVN,745555,2023,15,2
Vanuatu,W140000WOVU,3234,2023,15,2
Wallis and Futuna,W140000WOWF,100,2023,15,2
Samoa,W140000WOWS,1960,2023,15,2
Gaza Strip,W140000WOXG,26630,2023,15,2
Kosovo,W140000WOXK,15391,2023,15,2
West Bank,W140000WOXW,31771,2023,15,2
Yemen,W140000WOYE,362716,2023,15,2
South Africa,W140000WOZA,491745,2023,15,2
Zambia,W140000WOZM,241848,2023,15,2
Zimbabwe,W140000WOZW,171111,2023,15,2
